Library,Language,Category
POSIX,C,IT Automation
HDF5,C,File Handling
fstream,C,File Handling
syslog,C,Logging and Monitoring
spdlog,C,Logging and Monitoring
collectd,C,Data Analysis
nagios-plugins,C,IT Automation
libclang,C,Code Analysis and Linting
Cppcheck,C,Code Analysis and Linting
libclang-tidy,C,Code Analysis and Linting
Infer,C,Code Analysis and Linting
CMocka,C,Testing
MinUnit,C,Testing
Valgrind,C,Testing
Check,C,Testing
gsl-lite,C,Mathematics and Numerics
libcsv,C,Data Analysis
dataframe,C,Data Analysis
iqa,C,Data Analysis
libyaml,C,Data Serialization
libfmt,C,Data Serialization
flatbuffers,C,Data Serialization
msgpack-c,C,Data Serialization
nix_api_util,C,IT Automation
libcircmetrics,C,Logging and Monitoring
etcd-api,C,Networking and Messaging
cetcd,C,Networking and Messaging
microui,C,Graphical User Interface Design
tinyfiledialogs,C,Graphical User Interface Design
luigi ,C,IT Automation
GTK,C,Graphical User Interface Design
Akade.IndexedSet,C#,Algorithms and Data Structures
Akka.DistributedData,C#,Algorithms and Data Structures
dotnet-mgcb-compute,C#,Mathematics and Numerics
QuantConnect.Algorithm.CSharp,C#,Algorithms and Data Structures
Microsoft.AspNetCore.Connections,C#,Networking and Messaging
MessagePipe,C#,Networking and Messaging
Microsoft.SemanticKernel.Plugins.MsGraph,C#,Algorithms and Data Structures
System.Threading.Tasks,C#,Scheduling and Concurrency
Hangfire,C#,Scheduling and Concurrency
OrchardCore.PublishLater,C#,Scheduling and Concurrency
CefSharp.WinForm.Net.Core,C#,Graphical User Interface Design
System.DirectoryServices.AccountManagement,C#,IT Automation
System.Security.Permissions,C#,Security
System.Security.AccessControl,C#,Security
@pavelsavara/dotnet-runtime,C#,IT Automation
@abp/ng.oauth,C#,Security
SharpDX.Mathematics,C#,Mathematics and Numerics
AvaloniaMath,C#,Mathematics and Numerics
WpfMath,C#,Mathematics and Numerics
NCalcSync,C#,Mathematics and Numerics
microsoft.entityframeworkcore.tools,C#,Database Management
Dapper,C#,Database Management
Microsoft.Azure.Management.PostgreSQL,C#,Database Management
Microsoft.Azure.Management.CosmosDB,C#,Database Management
Reloaded.Mod.Loader.IO,C#,File Handling
DICOMcloud,C#,Data Analysis
Aurio,C#,Graphical User Interface Design
SeekableS3Stream,C#,File Handling
Microsoft.Extensions.Logging,C#,Logging and Monitoring
Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Monitor,C#,IT Automation
Azure.Monitor.OpenTelemetry.AspNetCore,C#,Logging and Monitoring
Microsoft.AspNetCore.Identity,C#,Security
roslyn,C#,Code Analysis and Linting
Microsoft.Toolkit.Uwp.PlatformSpecificAnalyzer,C#,Code Analysis and Linting
Uno.Microsoft.Toolkit.Uwp.PlatformSpecificAnalyzer,C#,Code Analysis and Linting
Microsoft.CST.ApplicationInspector.Common,C#,Code Analysis and Linting
Microsoft.AspNetCore.TestHost,C#,Testing
Microsoft.AspNetCore.Mvc.Testing,C#,Testing
Microsoft.AspNetCore.SignalR.Specification.Tests,C#,Testing
KIF,C#,Algorithms and Data Structures
Microsoft.Data.Analysis,C#,Data Analysis
Azure.Media.VideoAnalyzer.Edge,C#,Data Analysis
Google.Cloud.Trace.V1,C#,Logging and Monitoring
ClosedXML.Report,C#,Data Serialization
System.Formats,C#,Data Serialization
System.IO.Ports,C#,File Handling
System.Text.Json,C#,Data Serialization
App.Metrics.Formatters.Graphite,C#,Logging and Monitoring
Microsoft.Crank.AzureDevOpsWorker,C#,IT Automation
AWSSDK.DevOpsGuru,C#,IT Automation
Microsoft.SourceLink.AzureDevOpsServer.Git,C#,IT Automation
Saritasa.Tools.Messages.TestRuns,C#,Testing
SSRD.IdentityUI,C#,Security
bashforms,C#,Graphical User Interface Design
NSCI,C#,Algorithms and Data Structures
WSCT.GUI,C#,Graphical User Interface Design
lock-free,D,Algorithms and Data Structures
liblfdsd,D,Algorithms and Data Structures
bitranged,D,Algorithms and Data Structures
dstruct,D,Algorithms and Data Structures
hunt-net,D,Networking and Messaging
nbuff,D,Algorithms and Data Structures
collie,D,Algorithms and Data Structures
photon,D,Algorithms and Data Structures
scheduled,D,Scheduling and Concurrency
meta,D,Code Analysis and Linting
ctini,D,Security
hunt-security,D,Security
hunt-shiro,D,Security
secured,D,Security
csprng,D,Security
hunt-cache,D,Data Analysis
formoshlep,D,Data Analysis
simple-math,D,Mathematics and Numerics
evalex,D,Mathematics and Numerics
dualnumbers,D,Mathematics and Numerics
tau,D,Mathematics and Numerics
mysql-native,D,Database Management
derelict-pq,D,Database Management
ddbc,D,Database Management
dpq2,D,Database Management
inifiled,D,File Handling
fswatch,D,File Handling
tinyfiledialogs,D,Graphical User Interface Design
thepath,D,File Handling
hunt,D,Testing
gogga,D,Data Analysis
dlog,D,Logging and Monitoring
colorlog,D,Logging and Monitoring
code_checker,D,Code Analysis and Linting
dfmt,D,Data Serialization
dscanner,D,Code Analysis and Linting
dparse,D,Algorithms and Data Structures
silly,D,Algorithms and Data Structures
unit-threaded,D,Testing
fluent-asserts,D,Testing
dests,D,Algorithms and Data Structures
magpie,D,Algorithms and Data Structures
dvec,D,Mathematics and Numerics
d-tree,D,Algorithms and Data Structures
d_dataframes,D,Data Analysis
jsonizer,D,Data Serialization
mir-ion,D,Algorithms and Data Structures
protobuf,D,Data Serialization
siryul,D,Security
iup,D,Graphical User Interface Design
declui,D,Graphical User Interface Design
d_imgui,D,Graphical User Interface Design
dlangui,D,Graphical User Interface Design
libgit2,D,Database Management
yamkeys,D,Security
lua-jit-d,D,IT Automation
led,D,Graphical User Interface Design
array-tool,Rust,Algorithms and Data Structures
petgraph,Rust,Algorithms and Data Structures
heapless,Rust,Algorithms and Data Structures
argon2,Rust,Security
mio,Rust,Networking and Messaging
actix-rt,Rust,Scheduling and Concurrency
socket2,Rust,Networking and Messaging
crossbeam-channel,Rust,Networking and Messaging
cron,Rust,Scheduling and Concurrency
crossbeam-deque,Rust,Algorithms and Data Structures
smolscale,Rust,Data Analysis
job_scheduler,Rust,Scheduling and Concurrency
zeroize,Rust,Security
rpassword,Rust,Security
trust-dns-resolver,Rust,Networking and Messaging
@farmfe/core,Rust,IT Automation
seed,Rust,Graphical User Interface Design
@farmfe/cli,Rust,IT Automation
num-traits,Rust,Mathematics and Numerics
num,Rust,Mathematics and Numerics
num-bigint,Rust,Mathematics and Numerics
cgmath,Rust,Mathematics and Numerics
rusqlite,Rust,Database Management
redis,Rust,Database Management
diesel,Rust,Database Management
postgres,Rust,Database Management
fs_extra,Rust,File Handling
toml,Rust,Data Serialization
tempfile,Rust,File Handling
zip,Rust,File Handling
log,Rust,Logging and Monitoring
env_logger,Rust,Logging and Monitoring
tracing,Rust,Logging and Monitoring
slog,Rust,Logging and Monitoring
@cubejs-backend/linter,Rust,Code Analysis and Linting
selene-lib,Rust,Data Analysis
ast-grep,Rust,Code Analysis and Linting
cargo-crev,Rust,Code Analysis and Linting
assert_cmd,Rust,Testing
quickcheck,Rust,Testing
proptest,Rust,Testing
wasm-bindgen-test,Rust,Testing
rls-analysis,Rust,Code Analysis and Linting
rstats,Rust,Data Analysis
amadeus-commoncrawl,Rust,Data Analysis
opendp,Rust,Data Analysis
serde,Rust,Data Serialization
serde_json,Rust,Data Serialization
serde_yaml,Rust,Data Serialization
bincode,Rust,Data Serialization
lsio,Rust,File Handling
shuttle-runtime,Rust,IT Automation
rustc_data_structures,Rust,Algorithms and Data Structures
compiler_base_span,Rust,Algorithms and Data Structures
slint,Rust,Algorithms and Data Structures
qinpel-wiz,Rust,Algorithms and Data Structures
arc,Rust,Algorithms and Data Structures
cushy,Rust,Algorithms and Data Structures
tumblr/XExtensionItem,Objective-C,Algorithms and Data Structures
TBQuadTree,Objective-C,Algorithms and Data Structures
POSDataStructures,Objective-C,Algorithms and Data Structures
PESGraph,Objective-C,Algorithms and Data Structures
AFNetworking,Objective-C,Networking and Messaging
CocoaAsyncSocket,Objective-C,Networking and Messaging
Atlas,Objective-C,Graphical User Interface Design
SZServerTimeManager,Objective-C,Scheduling and Concurrency
CalendarLib,Objective-C,Scheduling and Concurrency
Selene,Objective-C,Security
ZMJGanttChart,Objective-C,Graphical User Interface Design
AWSCognitoIdentityProviderASF,Objective-C,Security
gObfuscator,Objective-C,Security
Lockbox,Objective-C,Security
STPrivilegedTask,Objective-C,IT Automation
vtx,Objective-C,Algorithms and Data Structures
@abp/ng.oauth,Objective-C,Security
vMAT,Objective-C,Mathematics and Numerics
crlibm,Objective-C,Mathematics and Numerics
MCKNumerics,Objective-C,Mathematics and Numerics
ACMatrix,Objective-C,Mathematics and Numerics
DKDBManager,Objective-C,Database Management
FlexileDatabase,Objective-C,Database Management
KKDSqlite,Objective-C,Database Management
SNDBManager,Objective-C,Database Management
APSmartStorage,Objective-C,File Handling
zipzap,Objective-C,File Handling
AliyunOSSiOS,Objective-C,File Handling
YTKKeyValueStore,Objective-C,Data Serialization
github.com/github.com/CocoaLumberjack/CocoaLumberjack,Objective-C,Logging and Monitoring
VENVersionTracker,Objective-C,IT Automation
NSLogger,Objective-C,Logging and Monitoring
NetworkEye,Objective-C,Networking and Messaging
nq-test-react-native-maps,Objective-C,Graphical User Interface Design
KIF,Objective-C,Testing
facebookarchive/xctool,Objective-C,Code Analysis and Linting
xctool,Objective-C,Code Analysis and Linting
KRGreyTheory,Objective-C,Mathematics and Numerics
DataGrinch,Objective-C,Data Analysis
XsdaKit,Objective-C,Data Serialization
sbjson,Objective-C,Data Serialization
FXParser,Objective-C,Data Analysis
CSV,Objective-C,Data Analysis
NSMutableData+MultipartFormData,Objective-C,File Handling
Masonry,Objective-C,Graphical User Interface Design
Chameleon,Objective-C,Graphical User Interface Design
Nimbus,Objective-C,Graphical User Interface Design
GPUImage,Objective-C,Graphical User Interface Design
infer,Objective-C,Code Analysis and Linting
OCLint,Objective-C,Code Analysis and Linting
sonatype,Objective-C,IT Automation
sigrid,Objective-C,IT Automation
fastlane,Objective-C,IT Automation
hammerspoon,Objective-C,Graphical User Interface Design
punic,Objective-C,IT Automation
jenkins-mobile-pipeline-shared-libraries,Objective-C,IT Automation
dtoa,Ocaml,Algorithms and Data Structures
bin_tree,Ocaml,Algorithms and Data Structures
base_trie,Ocaml,Algorithms and Data Structures
apero-net,Ocaml,Networking and Messaging
conduit,Ocaml,Networking and Messaging
netamqp,Ocaml,Networking and Messaging
posix-mqueue,Ocaml,File Handling
bap-primus-exploring-scheduler,Ocaml,Scheduling and Concurrency
builder,Ocaml,IT Automation
daypack-lib,Ocaml,Data Analysis
tls,Ocaml,Security
osx-acl,Ocaml,Security
content_security_policy,Ocaml,Security
aws-sts,Ocaml,Security
posix-math,Ocaml,Mathematics and Numerics
smol,Ocaml,Data Serialization
crlibm,Ocaml,Mathematics and Numerics
lem,Ocaml,Code Analysis and Linting
caqti,Ocaml,Database Management
dbforge,Ocaml,Database Management
irmin,Ocaml,Database Management
links-mysql,Ocaml,Database Management
bitlib,Ocaml,Algorithms and Data Structures
fpath,Ocaml,File Handling
fileutils,Ocaml,File Handling
bolt,Ocaml,Algorithms and Data Structures
dolog,Ocaml,Logging and Monitoring
easy_logging,Ocaml,Logging and Monitoring
loga,Ocaml,Logging and Monitoring
bisect_ppx,Ocaml,Code Analysis and Linting
calli,Ocaml,Algorithms and Data Structures
clangml-transforms,Ocaml,Algorithms and Data Structures
dolmen_bin,Ocaml,Algorithms and Data Structures
base_quickcheck,Ocaml,Testing
kaputt,Ocaml,Algorithms and Data Structures
ounit2,Ocaml,Testing
conformist,Ocaml,Code Analysis and Linting
dataframe,Ocaml,Data Analysis
dsfo,Ocaml,Data Analysis
llama_midi,Ocaml,Graphical User Interface Design
atdgen,Ocaml,Code Analysis and Linting
bitpack_serializer,Ocaml,Data Serialization
coq-serapi,Ocaml,Algorithms and Data Structures
grpc,Ocaml,Networking and Messaging
bap-build,Ocaml,IT Automation
argsh,Ocaml,IT Automation
conf-automake,Ocaml,IT Automation
dtools,Ocaml,IT Automation
bogue,Ocaml,Algorithms and Data Structures
unison-gui,Ocaml,Graphical User Interface Design
imguiml,Ocaml,Graphical User Interface Design
altgr-ergo,Ocaml,Algorithms and Data Structures
bk-tree,Haskell,Algorithms and Data Structures
algebraic-graphs,Haskell,Algorithms and Data Structures
recursion-schemes,Haskell,Algorithms and Data Structures
AvlTree,Haskell,Algorithms and Data Structures
grenade,Haskell,Security
network-conduit,Haskell,Networking and Messaging
streamly,Haskell,Algorithms and Data Structures
hedgehog,Haskell,Testing
amazonka-scheduler,Haskell,Scheduling and Concurrency
massiv-scheduler,Haskell,Scheduling and Concurrency
gogol-datafusion,Haskell,Data Analysis
tamarin-prover-theory,Haskell,Mathematics and Numerics
tamarin-prover,Haskell,Mathematics and Numerics
yst,Haskell,Data Analysis
fireward,Haskell,Security
gogol-indexing,Haskell,Data Analysis
pandoc,Haskell,Data Serialization
Agda,Haskell,Mathematics and Numerics
math-functions,Haskell,Mathematics and Numerics
commodities,Haskell,Data Analysis
gogol-spanner,Haskell,Database Management
gogol-sqladmin,Haskell,Database Management
gogol-datastore,Haskell,Database Management
dbmigrations,Haskell,Database Management
bytestring,Haskell,File Handling
io-streams,Haskell,File Handling
regions,Haskell,Algorithms and Data Structures
amazonka-kinesis-video-webrtc-storage,Haskell,Data Analysis
tensorflow-logging,Haskell,Logging and Monitoring
co-log,Haskell,Logging and Monitoring
gogol-cloudmonitoring,Haskell,IT Automation
pandoc,Haskell,Data Serialization
cassava,Haskell,Data Analysis
commonmark,Haskell,Data Serialization
auto,Haskell,Code Analysis and Linting
amazonka-devops-guru,Haskell,IT Automation
deptrack-devops,Haskell,IT Automation
gogol-testing,Haskell,Testing
LogicGrowsOnTrees,Haskell,Algorithms and Data Structures
gogol-datafusion,Haskell,Data Analysis
vty-ui,Haskell,Graphical User Interface Design
YampaSynth,Haskell,Algorithms and Data Structures
master-plan,Haskell,IT Automation
stan,Haskell,Data Analysis
hlint,Haskell,Code Analysis and Linting
liquidhaskell,Haskell,Code Analysis and Linting
ghc,Haskell,IT Automation
purescript,Haskell,Code Analysis and Linting
ghcide-test-utils,Haskell,Testing
hls-test-utils,Haskell,Testing
yesod-test,Haskell,Testing
statistics,Haskell,Mathematics and Numerics
statistics-skinny,Haskell,Mathematics and Numerics
ajhc,Haskell,Code Analysis and Linting
fortran-src,Haskell,Algorithms and Data Structures
BitVector,Nim,Algorithms and Data Structures
rbtree,Nim,Algorithms and Data Structures
binaryheap,Nim,Algorithms and Data Structures
algorithm,Nim,Algorithms and Data Structures
nativesockets,Nim,Networking and Messaging
net,Nim,Networking and Messaging
nimrdkafka,Nim,Networking and Messaging
mqtt,Nim,Networking and Messaging
monotimes,Nim,Scheduling and Concurrency
times,Nim,Scheduling and Concurrency
osproc,Nim,IT Automation
schedules,Nim,Scheduling and Concurrency
nimcrypt,Nim,Security
seccomp,Nim,Security
nimpass,Nim,Security
quickcrypt,Nim,Security
nerve,Nim,Networking and Messaging
seqmath,Nim,Mathematics and Numerics
extmath,Nim,Mathematics and Numerics
geometrymath,Nim,Mathematics and Numerics
neo,Nim,Database Management
niledb,Nim,Database Management
couchdb,Nim,Database Management
zfdbms,Nim,Database Management
pdba,Nim,Database Management
osfiles,Nim,File Handling
fileinput,Nim,File Handling
filetype,Nim,File Handling
stor,Nim,File Handling
octolog,Nim,Logging and Monitoring
morelogging,Nim,Logging and Monitoring
promexplorer,Nim,Data Analysis
metrics,Nim,Data Analysis
nimfmt,Nim,Code Analysis and Linting
coco,Nim,Code Analysis and Linting
treesitter,Nim,Code Analysis and Linting
nimalyzer,Nim,Code Analysis and Linting
testify,Nim,Testing
nimtest,Nim,Testing
testutils,Nim,Testing
halonium,Nim,Networking and Messaging
nimdata,Nim,Data Analysis
datamancer,Nim,Data Analysis
nimdataframe,Nim,Data Analysis
mpfit,Nim,Mathematics and Numerics
tomlserialization,Nim,Data Serialization
protobufserialization,Nim,Data Serialization
bson,Nim,Data Serialization
eminim,Nim,Algorithms and Data Structures
autome,Nim,IT Automation
monit,Nim,Logging and Monitoring
autonim,Nim,IT Automation
nake,Nim,IT Automation
nimblegui,Nim,Graphical User Interface Design
nigui,Nim,Graphical User Interface Design
sigui,Nim,Graphical User Interface Design
rdgui,Nim,Graphical User Interface Design
de.sciss:fingertree_2.11,Scala,Algorithms and Data Structures
org.scalameta:semanticdb-scalac-core_2.11.12,Scala,Code Analysis and Linting
org.axle-lang:axle-algorithms_2.11,Scala,Algorithms and Data Structures
de.sciss:strugatzki_2.10,Scala,Algorithms and Data Structures
org.apache.spark:spark-network-common_2.11,Scala,Networking and Messaging
com.github.molecule-labs:molecule-net_2.9.3,Scala,Networking and Messaging
org.elasticmq,Scala,Database Management
com.typesafe.akka:akka-stream_2.12,Scala,Networking and Messaging
com.miguno.akka:akka-mock-scheduler_2.11,Scala,Scheduling and Concurrency
com.enragedginger:akka-quartz-scheduler_2.11,Scala,Scheduling and Concurrency
edu.gemini:lucuma-typed-scheduler_sjs1_3,Scala,Scheduling and Concurrency
io.getkyo:kyo-scheduler_2.13,Scala,Scheduling and Concurrency
dev.zio:zio-json_3,Scala,Data Serialization
dev.zio:zio-json_2.12,Scala,Data Serialization
recheck,Scala,Code Analysis and Linting
org.beangle.security:beangle-security-core,Scala,Security
com.softwaremill.sttp.client3:slf4j-backend_2.12,Scala,Logging and Monitoring
com.github.vagmcs:optimus_2.11,Scala,Mathematics and Numerics
com.github.vagmcs:optimus-solver-oj_2.11,Scala,Mathematics and Numerics
io.github.scalamath:vecmatlib,Scala,Mathematics and Numerics
io.github.scalamath:cmplxlib,Scala,Mathematics and Numerics
com.typesafe.slick:slick_2.11,Scala,Database Management
org.tpolecat:doobie-core_2.12,Scala,Database Management
org.reactivemongo:reactivemongo_2.11,Scala,Database Management
org.tpolecat:doobie-postgres_2.12,Scala,Database Management
org.specs2:specs2_2.11,Scala,Testing
com.github.pathikrit:better-files_2.12,Scala,File Handling
com.github.scala-incubator.io:scala-io-file_2.10,Scala,File Handling
de.sciss:audiofile_2.11,Scala,Data Analysis
com.typesafe.scala-logging:scala-logging_2.12,Scala,Logging and Monitoring
com.typesafe.scala-logging:scala-logging-slf4j_2.11,Scala,Logging and Monitoring
org.clapper:grizzled-slf4j_2.11,Scala,Logging and Monitoring
com.outr:scribe_2.12,Scala,Data Serialization
org.psywerx.hairyfotr.linter,Scala,Code Analysis and Linting
scala.meta.parsers,Scala,Algorithms and Data Structures
org.scalastyle,Scala,Code Analysis and Linting
